1	ATL	Atlanta	Flashers	82	14	63	5	33	212	416	264	32	453	291	76	453	758	7	10	27	4	4	36	1	6	24	2	1	4	10	3	0	3	52	3	1	8	2	3	2138	3528	2160	2796	1537	2010	7055	2171	11	0	2019-20	Regular
2	AUG	Augusta	Grn. Jackets	82	50	24	8	108	355	279	268	59	433	295	49	493	798	7	25	11	5	25	13	3	21	6	5	3	0	38	2	5	3	18	1	9	4	2	7	2905	2916	2446	2488	1838	1764	9051	2300	3	3	2019-20	Regular
3	CHY	Cheyenne	Desperado	82	44	29	9	97	341	272	292	52	472	323	58	502	859	5	27	11	3	17	18	6	19	9	4	2	3	33	3	4	3	20	3	8	6	2	9	3090	2828	2646	2525	1794	1693	9169	2216	3	1	2019-20	Regular
4	CIN	Cincinnati	Cyclones	82	30	43	9	69	279	302	270	48	439	301	68	468	810	12	17	19	5	13	24	4	15	14	3	1	4	22	3	2	2	36	1	6	4	6	3	2890	2812	2356	2569	1870	1873	8762	2237	8	0	2019-20	Regular
5	GRE	Green Bay	Glory	82	23	49	10	56	228	318	300	39	504	271	51	436	794	7	11	23	7	12	26	3	5	23	4	1	4	16	2	6	1	39	3	6	8	1	5	2041	2832	2850	2737	1630	1683	7142	2216	7	3	2019-20	Regular
6	IND	Indianapolis	Goats	82	56	18	8	120	381	233	278	78	429	265	44	439	805	12	31	7	3	25	11	5	20	9	3	3	2	48	3	1	2	10	2	6	5	5	11	3517	2564	2734	1994	1858	1882	9709	2311	3	5	2019-20	Regular
7	KEL	Kelowna	Mountaineers	82	34	39	9	77	294	300	282	45	456	290	50	480	788	8	21	16	4	13	23	5	9	18	5	3	4	28	2	0	3	29	3	3	8	6	4	2997	3195	2386	2744	1562	1767	8248	2044	10	1	2019-20	Regular
8	LSB	Lone Star	Brahmas	82	33	43	6	72	268	284	303	59	497	281	53	452	825	12	22	17	2	11	26	4	13	18	1	2	3	19	7	1	6	27	1	8	9	4	3	2970	2885	2330	2647	1913	1799	8574	2374	8	0	2019-20	Regular
9	MEM	Memphis	Hound Dogs	82	39	36	7	85	292	284	283	50	456	311	53	501	825	9	23	15	3	16	21	4	18	11	3	2	3	26	5	3	5	25	1	8	6	3	6	2821	3000	2236	2803	1762	1814	8510	2387	3	1	2019-20	Regular
10	MIL	Milwaukee	Ice Dragons	82	57	20	5	119	350	217	273	67	422	257	43	419	679	8	31	9	2	26	11	3	24	5	3	2	1	47	0	0	5	14	4	5	6	1	11	3727	2491	2886	2022	1913	1777	9695	2406	2	7	2019-20	Regular
11	MSG	Mississauga	North Stars	82	29	49	4	62	259	360	255	45	410	319	69	517	893	17	14	24	2	15	25	2	9	22	1	4	1	19	2	0	3	42	3	7	5	1	6	2923	2844	2411	2656	1844	1833	9133	2462	2	1	2019-20	Regular
12	OAK	Oakland	Assassins	82	53	22	7	113	345	232	304	63	481	258	38	439	686	7	31	8	2	22	14	5	19	10	3	3	1	45	4	3	2	14	0	6	4	4	6	3498	2556	2154	2295	1976	1836	9407	2268	6	6	2019-20	Regular
13	OKL	Oklahoma	Oil Barons	82	30	43	9	69	215	297	285	52	461	249	50	395	688	1	19	18	4	11	25	5	15	14	3	4	2	20	3	4	4	32	4	6	8	1	3	2734	3176	2138	2968	1749	1828	8532	2399	3	4	2019-20	Regular
14	PEO	Peoria	Prowlers	82	44	33	5	93	302	262	253	51	394	276	49	450	756	6	24	15	2	20	18	3	15	14	3	2	1	38	2	2	1	26	1	5	5	2	7	3206	2893	2442	2490	1852	1777	9236	2122	5	2	2019-20	Regular
15	SFC	San Fran.	Fight. Cocks	82	30	45	7	67	275	316	304	48	494	292	57	473	825	5	19	18	4	11	27	3	12	17	3	3	2	18	5	2	1	33	2	11	7	3	4	2599	2746	2968	2525	1773	1739	8524	2386	6	0	2019-20	Regular
16	SEA	Seattle	Storm	82	55	22	5	115	335	242	284	56	467	298	57	481	880	9	30	9	2	25	13	3	22	8	2	5	1	44	1	2	3	19	0	8	2	3	8	2704	2559	2242	2693	1925	1737	8745	2157	2	8	2019-20	Regular
17	SCS	S. Carolina	Stingrays	82	32	39	11	75	266	286	303	64	481	293	45	470	768	5	21	12	8	11	27	3	11	17	4	4	4	21	2	4	3	29	3	8	8	4	4	2447	2738	2949	2118	1899	1992	8124	2256	2	1	2019-20	Regular
18	STA	Staten Isl.	Killer Bees	82	48	26	8	104	344	235	313	62	485	270	52	432	720	18	25	14	2	23	12	6	18	10	4	1	3	40	3	2	2	21	3	6	2	3	7	2905	2483	2953	2126	1994	1803	8712	2288	2	7	2019-20	Regular
19	VIC	Victoria	Vipers	82	28	49	5	61	244	333	271	54	434	284	59	452	835	6	18	20	3	10	29	2	10	19	3	0	0	21	1	1	2	43	1	5	5	3	3	2474	3114	2467	2548	1771	1920	7372	2287	12	5	2019-20	Regular
20	WIT	Wichita	Wolfpack	82	20	57	5	45	237	354	303	47	503	264	62	419	715	6	9	28	4	11	29	1	8	21	3	1	4	15	4	1	3	39	4	2	14	0	2	3036	854	2634	2670	1869	1906	8211	2237	1	0	2019-20	Regular
