Abbr	City	Nickname	GP	W	L	T	Pts	GF	GA	PPA	PPG	PP Min	Opp PPA	Opp PPG	SH Min	PIM	SHG	Home W	Home L	Home T	Road W	Road L	Road T	Div W	Div L	Div T	OT W	OT L	Lead 2 W	Lead 2 L	Lead 2 T	Trail 2 W	Trail 2 L	Trail 2 T	Even 2 W	Even 2 L	Even 2 T	Long Streak	SOG	Opp SOG	FOW	FOL	Cor W	Cor L	Pass Comp	Pass Inc	EN	ShO
ATL	Atlanta	Flashers	36	7	25	4	18	97	184	121	17	207	125	37	185	335	2	6	9	3	1	16	1	4	11	1	1	0	6	0	0	1	21	2	0	4	2	3	1000	1570	957	1281	662	887	3182	975	5	0
AUG	Augusta	Grn. Jackets	36	20	13	3	43	143	116	118	21	197	130	15	221	348	5	8	7	3	12	6	0	11	3	2	2	0	15	2	2	1	8	0	4	3	1	4	1264	1325	1060	1092	772	732	4110	1041	3	1
CHY	Cheyenne	Desperado	36	15	16	5	35	151	133	134	25	215	127	25	184	345	3	10	6	2	5	10	3	6	7	3	1	2	14	2	2	1	10	2	0	4	1	2	1362	1197	1177	1134	829	746	4014	1061	1	1
CIN	Cincinnati	Cyclones	36	16	17	3	35	142	124	108	25	171	120	28	192	330	5	9	8	1	7	9	2	7	7	2	0	2	13	2	0	1	13	1	2	2	2	3	1298	1234	1050	1117	822	844	4048	981	6	0
GRE	Green Bay	Glory	36	13	20	3	29	108	134	130	15	219	133	29	207	385	1	6	9	3	7	11	0	4	10	2	0	1	9	0	2	1	14	1	3	6	0	5	1096	1224	1075	1087	836	838	3599	1097	5	1
IND	Indianapolis	Goats	36	22	9	5	49	165	109	125	32	194	100	21	160	332	5	13	3	2	9	6	3	10	4	2	1	0	18	1	1	0	6	2	4	2	2	4	1506	1066	1310	1240	790	775	3981	1003	0	2
KEL	Kelowna	Mountaineers	36	14	19	3	31	115	131	123	19	195	136	24	231	380	1	9	8	1	5	11	2	4	11	1	2	2	10	1	0	1	13	1	3	5	2	4	1244	1408	1075	1179	637	715	3374	826	7	1
LSB	Lone Star	Brahmas	36	15	19	2	32	126	134	140	28	225	114	22	186	325	5	11	7	0	4	12	2	6	9	1	1	2	9	3	1	1	13	0	5	3	1	3	1413	1269	953	1092	850	792	3901	1064	4	0
MEM	Memphis	Hound Dogs	36	20	13	3	43	125	114	117	17	181	150	18	258	359	6	11	6	1	9	7	2	10	4	2	1	2	14	1	1	2	8	1	4	4	1	6	1203	1330	1158	1052	767	758	3712	1029	1	1
MIL	Milwaukee	Ice Dragons	36	25	9	2	52	147	95	128	31	190	117	20	184	304	3	12	5	1	13	4	1	12	2	2	0	0	20	0	0	2	7	2	3	2	0	11	1551	1090	1320	951	804	692	4121	995	1	3
MSG	Mississauga	North Stars	36	11	24	1	23	113	184	116	24	183	154	40	232	419	8	6	11	1	5	13	0	3	13	0	2	1	5	0	0	1	23	1	5	1	0	6	1334	1094	825	1211	807	798	3896	1087	1	0
OAK	Oakland	Assassins	36	23	8	5	51	139	95	151	28	241	125	21	203	322	1	14	3	1	9	5	4	9	4	3	2	0	20	1	1	1	5	0	2	2	4	5	1388	1156	1241	1083	817	816	4110	985	3	2
OKL	Oklahoma	Oil Barons	36	12	19	5	29	94	123	136	20	226	112	20	179	317	0	8	8	2	4	11	3	8	6	2	2	0	8	1	4	3	13	0	1	5	1	2	1221	1326	903	1294	757	801	3669	1023	2	1
PEO	Peoria	Prowlers	36	20	13	3	43	135	100	104	24	155	118	15	197	336	3	11	7	0	9	6	3	7	7	2	0	0	16	1	0	0	10	1	4	2	2	4	1405	1291	1069	1087	779	768	4066	937	1	0
SFC	San Fran.	Fight. Cocks	36	12	22	2	26	112	140	133	21	214	135	29	216	371	5	9	7	2	3	15	0	7	7	2	1	1	5	2	0	0	16	0	7	4	2	3	1246	1231	1191	979	788	792	4061	1084	2	0
SEA	Seattle	Storm	36	23	11	2	48	131	102	125	25	198	148	31	228	427	4	13	4	1	10	7	1	10	5	1	1	0	19	0	1	1	10	0	3	1	1	8	1151	1147	1021	1199	825	776	3762	940	2	4
SCS	S. Carolina	Stingrays	36	17	16	3	37	132	131	128	33	197	137	21	222	363	2	10	5	3	7	11	0	6	9	1	1	1	10	1	1	2	13	0	5	2	2	3	1034	1181	1311	983	798	845	3444	1001	2	1
STA	Staten Isl.	Killer Bees	36	21	12	3	45	154	114	150	32	235	114	23	185	295	7	12	6	0	9	6	3	8	6	2	0	1	17	1	1	1	10	1	3	1	1	7	1381	1048	1318	935	852	733	4064	1013	0	1
VIC	Victoria	Vipers	36	13	22	1	27	106	141	127	29	206	114	22	184	355	4	7	10	1	6	12	0	6	9	1	0	0	9	0	0	0	19	0	4	3	1	3	1057	1408	1071	1098	706	846	3177	947	5	2
WIT	Wichita	Wolfpack	36	11	23	2	24	105	136	111	13	194	116	24	189	313	2	5	11	2	6	12	0	5	9	2	0	3	10	1	0	0	15	2	1	7	0	2	1308	1269	1128	1112	855	836	3599	972	4	0
