ATL	ATL	IND	CHY	ATL	MEM	2020
AUG	MSG	AUG	AUG	MIL	AUG	2020
CHY	CHY	CHY	CHY	WIT	CHY	2020
CIN	CIN	CIN	CIN	CIN	CIN	2020
GRE	GRE	OAK	OAK	GRE	GRE	2020
IND	WIT	MSG	ATL	ATL	IND	2020
KEL	WIT	OAK	KEL	KEL	KEL	2020
LSB	MSG	LSB	CIN	LSB	LSB	2020
MEM	WIT	VSJ	SFC	VSJ	MEM	2020
MIL	AUG	IND	MIL	MIL	MIL	2020
MSG	OKL	MSG	SFC	AUG	MSG	2020
OAK	MSG	MIL	MIL	OAK	OAK	2020
OKL	OKL	MSG	MIL	OKL	OKL	2020
PEO	PEO	PEO	PEO	PEO	PEO	2020
SFC	MSG	SFC	SFC	SFC	SFC	2020
SEA	KEL	MSG	KEL	GRE	SEA	2020
SCS	MSG	MSG	SFC	SFC	SCS	2020
STA	WIT	VSJ	SFC	SFC	SFC	2020
VSJ	VSJ	VSJ	VSJ	OAK	VSJ	2020
WIT	WIT	ATL	WIT	CIN	SFC	2020
ATL	ATL	ATL	ATL	ATL	ATL	2021
WIT	WIT	WIT	WIT	WIT	WIT	2021
GRE	GRE	GRE	GRE	GRE	GRE	2021
VSJ	VSJ	VSJ	VSJ	VSJ	VSJ	2021
MSG	MSG	MSG	MSG	MSG	MSG	2021
SFC	SFC	SFC	SFC	SFC	SFC	2021
CIN	CIN	CIN	CIN	CIN	CIN	2021
OKL	OKL	OKL	OKL	OKL	OKL	2021
LSB	LSB	LSB	LSB	LSB	LSB	2021
SCS	SCS	SCS	SCS	SCS	SCS	2021
KEL	KEL	KEL	KEL	KEL	KEL	2021
MEM	MEM	MEM	MEM	MEM	MEM	2021
PEO	PEO	PEO	PEO	PEO	PEO	2021
CHY	CHY	CHY	CHY	CHY	CHY	2021
STA	STA	STA	STA	STA	STA	2021
AUG	AUG	AUG	AUG	AUG	AUG	2021
OAK	OAK	OAK	OAK	OAK	OAK	2021
SEA	SEA	SEA	SEA	SEA	SEA	2021
MIL	MIL	MIL	MIL	MIL	MIL	2021
IND	IND	IND	IND	IND	IND	2021
