Abdelkader, Justin	4.250	4.250	4.250	4.250	4.250
Aberg, Pontus	0.650	0.700	RFA		
Acciari, Noel	0.725	1.667	1.667	1.667	UFA
Agostino, Kenny	0.700	0.738	0.738	UFA	
Agozzino, Andrew	0.650	0.700	0.700	UFA	
Aho, Sebastian	1.775	8.454	8.454	8.454	8.454
Amadio, Michael	0.925	0.700	0.700	RFA	
Anas, Sam	0.675	0.675	UFA		
Anderson, Joseph	0.925	0.925	RFA		
Anderson, Josh	1.850	1.850	RFA		
Andersson, Lias	1.744	1.744	1.744	RFA	
Andreoff, Andy	0.678	0.750	0.750	UFA	
Andrighetto, Sven	1.400	UFA			
Anisimov, Artem	4.550	4.550	4.550	UFA	
Appleton, Mason	0.758	0.758	RFA		
Archibald, Darren	0.650	UFA			
Archibald, Josh	0.675	1.000	UFA		
Armia, Joel	1.850	2.600	2.600	UFA	
Arvidsson, Viktor	4.250	4.250	4.250	4.250	4.250
Asplund, Rasmus	0.925	0.925	0.925	RFA	
Aston-Reese, Zach	0.925	1.000	1.000	RFA	
Athanasiou, Andreas	3.000	3.000	RFA		
Atkinson, Cam	5.875	5.875	5.875	5.875	5.875
Aube-Kubel, Nicolas	0.872	0.700	RFA		
Backes, David	6.000	6.000	6.000	UFA	
Backlund, Mikael	5.350	5.350	5.350	5.350	5.350
Backstrom, Nicklas	6.700	6.700	UFA		
Baertschi, Sven	3.367	3.367	3.367	UFA	
Bailey, Josh	5.000	5.000	5.000	5.000	5.000
Bailey, Justin	0.715	0.700	RFA		
Balcers, Rudolfs	0.925	0.925	RFA		
Baptiste, Nicholas	0.788	UFA			
Barbashev, Ivan	0.863	1.475	1.475	RFA	
Barber, Riley	0.650	0.700	RFA		
Barkov, Aleksander	5.900	5.900	5.900	5.900	UFA
Barzal, Mathew	1.263	1.263	RFA		
Batherson, Drake	0.773	0.773	0.773	RFA	
Beagle, Jay	3.000	3.000	3.000	3.000	UFA
Beauvillier, Anthony	1.107	2.100	2.100	RFA	
Beleskey, Matt	3.800	3.800	UFA		
Bellemare, Pierre-Edouard	1.450	1.800	1.800	UFA	
Bemstrom, Emil	SWEDEN	1.633	1.633	1.633	RFA
Benn, Jamie	9.500	9.500	9.500	9.500	9.500
Bennett, Beau	KHL	0.725	UFA		
Bennett, Sam	1.950	2.550	2.550	RFA	
Bergeron, Patrice	6.875	6.875	6.875	6.875	UFA
Berglund, Patrik	3.850	3.850	3.850	3.850	UFA
Bernier, Steve	0.650	UFA			
Bertuzzi, Tyler	1.400	1.400	RFA		
Bishop, Clark	0.713	0.700	RFA		
Bjork, Anders	1.067	1.067	RFA		
Bjorkstrand, Oliver	2.500	2.500	2.500	RFA	
Bjugstad, Nick	4.100	4.100	4.100	UFA	
Blackwell, Colin	0.675	0.675	UFA		
Blais, Samuel	0.726	0.850	RFA		
Blandisi, Joseph	0.680	0.700	RFA		
Blidh, Anton	0.650	0.700	0.700	RFA	
Blueger, Teddy	0.650	0.750	0.750	RFA	
Boedker, Mikkel	4.000	4.000	UFA		
Boeser, Brock	1.492	5.875	5.875	5.875	RFA
Bonino, Nick	4.100	4.100	4.100	UFA	
Boqvist, Jesper	SWEDEN	0.925	0.925	0.925	RFA
Borgstrom, Henrik	1.492	1.492	RFA		
Boucher, Reid	0.725	0.750	RFA		
Bourque, Gabriel	0.950	0.700	UFA		
Boyd, Travis	0.800	0.800	RFA		
Boyle, Brian	2.750	0.940	UFA		
Bozak, Tyler	5.000	5.000	5.000	UFA	
Brassard, Derick	5.000	1.200	UFA		
Bratt, Jesper	0.825	0.825	RFA		
Brickley, Connor	0.650	UFA			
Brodziak, Kyle	1.150	1.150	UFA		
Brodzinski, Jonny	0.650	0.700	UFA		
Brouwer, Troy	0.850	0.750	UFA		
Brown, Connor	2.100	2.100	RFA		
Brown, Dustin	5.875	5.875	5.875	5.875	UFA
Brown, J.T.	0.688	0.688	UFA		
Brown, Patrick	0.650	0.700	0.700	UFA	
Buchnevich, Pavel	0.925	3.250	3.250	RFA	
Bunnaman, Connor	0.790	0.790	0.790	RFA	
Bunting, Michael	0.715	0.738	0.738	RFA	
Burakovsky, Andre	3.000	3.250	RFA		
Byron, Paul	1.167	3.400	3.400	3.400	3.400
Caamano, Nicholas	0.738	0.738	0.738	RFA	
Caggiula, Drake	1.500	1.500	RFA		
Callahan, Ryan	5.800	5.800	UFA		
Calvert, Matt	2.850	2.850	2.850	UFA	
Carey, Paul	0.700	0.700	0.700	UFA	
Carpenter, Ryan	0.650	1.000	1.000	1.000	UFA
Carr, Daniel	0.750	0.700	UFA		
Carrick, Sam	0.650	0.700	UFA		
Carrier, William	0.725	0.725	RFA		
Carter, Jeff	5.273	5.273	5.273	5.273	UFA
Cave, Colby	0.675	0.675	RFA		
Cehlarik, Peter	0.925	0.700	RFA		
Chaput, Michael	0.675	0.675	UFA		
Chartier, Rourke	0.863	UFA			
Chiasson, Alex	0.650	2.150	2.150	UFA	
Chibisov, Andrei	KHL	0.925	UFA		
Chlapik, Filip	0.894	0.894	RFA		
Chytil, Filip	1.244	1.244	1.244	RFA	
Cirelli, Anthony	0.936	0.936	RFA		
Cizikas, Casey	3.350	3.350	3.350	UFA	
Clarkson, David	5.250	5.250	UFA		
Clifford, Kyle	1.600	1.600	UFA		
Clutterbuck, Cal	3.500	3.500	3.500	3.500	UFA
Cogliano, Andrew	3.250	3.250	3.250	UFA	
Coleman, Blake	1.800	1.800	1.800	UFA	
Comeau, Blake	2.400	2.400	2.400	UFA	
Compher, J.T.	1.000	3.500	3.500	3.500	3.500
Comtois, Max	0.925	0.925	0.925	RFA	
Conacher, Cory	0.650	0.700	UFA		
Condra, Erik	0.700	UFA			
Connor, Kyle	1.775	7.143	7.143	7.143	7.143
Connolly, Brett	1.500	3.500	3.500	3.500	3.500
Copp, Andrew	1.000	2.280	2.280	RFA	
Cousins, Nick	1.000	1.000	RFA		
Couture, Logan	6.000	8.000	8.000	8.000	8.000
Couturier, Sean	4.333	4.333	4.333	4.333	UFA
Coyle, Charlie	3.200	3.200	5.250	5.250	5.250
Cramarossa, Joseph	0.650	0.700	UFA		
Criscuolo, Kyle	0.650	0.700	UFA		
Crosby, Sidney	8.700	8.700	8.700	8.700	8.700
Crouse, Lawson	1.603	1.533	1.533	1.533	RFA
Cullen, Matt	0.650	RETIRED			
Czarnik, Austin	1.250	1.250	UFA		
Dach, Kirby	MINORS	3.425	3.425	3.425	RFA
Dadonov, Evgenii	4.000	4.000	UFA		
Dal Colle, Michael	3.063	0.700	0.700	RFA	
Dalpe, Zac	0.725	0.750	0.750	UFA	
Danault, Phillip	3.083	3.083	3.083	UFA	
Dano, Marko	0.800	0.800	RFA		
Dauphin, Laurent	0.788	0.700	RFA		
Davidsson, Jonathan	0.850	0.850	0.850	RFA	
De La Rose, Jacob	0.900	0.900	RFA		
Dea, Jean-Sebastien	0.650	0.700	0.700	UFA	
DeBrincat, Alex	0.894	0.894	6.400	6.400	6.400
DeBrusk, Jake	1.288	1.288	RFA		
DesLauriers, Nicolas	0.950	0.950	UFA		
Di Giuseppe, Phillip	0.750	0.700	RFA		
Dickinson, Jason	0.875	1.500	1.500	RFA	
Domi, Max	3.150	3.150	RFA		
Donato, Ryan	1.350	1.900	1.900	RFA	
Donskoi, Joonas	1.900	3.900	3.900	3.900	3.900
Dowd, Nic	0.650	0.750	0.750	0.750	UFA
Dowling, Justin	0.650	0.750	0.750	UFA	
Draisaitl, Leon	8.500	8.500	8.500	8.500	8.500
Dries, Sheldon	0.925	0.735	RFA		
Drouin, Jonathan	5.500	5.500	5.500	5.500	5.500
Dube, Dillon	0.911	0.911	0.911	RFA	
Dubinsky, Brandon	5.850	5.850	5.850	UFA	
Dubois, Pierre-Luc	3.394	3.394	RFA		
Duchene, Matt	6.000	8.000	8.000	8.000	8.000
Duclair, Anthony	0.650	1.650	RFA		
Dumont, Gabriel	0.650	0.700	0.700	UFA	
Dvorak, Christian	1.107	4.450	4.450	4.450	4.450
Dzingel, Ryan	1.800	3.375	3.375	UFA	
Eakin, Cody	3.850	3.850	UFA		
Eaves, Patrick	3.150	3.150	UFA		
Eberle, Jordan	6.000	5.500	5.500	5.500	5.500
Ehlers, Nikolaj	6.000	6.000	6.000	6.000	6.000
Ehn, Christoffer	0.925	0.925	RFA		
Eichel, Jack	10.000	10.000	10.000	10.000	10.000
Elie, Remi	0.735	0.700	RFA		
Eller, Lars	3.500	3.500	3.500	3.500	3.500
Engvall, Pierre	0.925	0.925	RFA		
Ennis, Tyler	0.650	0.800	UFA		
Eriksson, Loui	6.000	6.000	6.000	6.000	UFA
Eriksson Ek, Joel	1.107	1.488	1.488	RFA	
Erne, Adam	0.800	1.050	RFA		
Fabbri, Robby	0.925	0.900	RFA		
Faksa, Radek	2.200	2.200	RFA		
Farabee, Joel	NCAA	1.425	1.425	1.425	RFA
Fasching, Hudson	0.874	0.738	0.738	RFA	
Fast, Jesper	1.850	1.850	UFA		
Fehr, Eric	1.000	UFA			
Ferland, Micheal	1.750	3.500	3.500	3.500	3.500
Fiala, Kevin	1.363	3.000	3.000	RFA	
Filppula, Valtteri	2.750	3.000	3.000	UFA	
Fischer, Christian	1.076	1.076	RFA		
Foegele, Warren	0.800	0.800	RFA		
Fogarty, Steven	0.709	0.700	UFA		
Foligno, Marcus	2.875	2.875	2.875	UFA	
Foligno, Nick	5.500	5.500	5.500	UFA	
Forsbacka-Karlsson, Jakob	0.925	SWEDEN			
Forsberg, Filip	6.000	6.000	6.000	6.000	UFA
Fortin, Alexandre	0.707	0.707	RFA		
Frederic, Trent	1.138	1.138	1.138	RFA	
Fritz, Tanner	0.650	0.700	0.700	UFA	
