Carrick, Connor	8476941	541	
Zajac, Travis	8471233	505	
Schneider, Cory	8471239		65
Greene, Andy	8472382	601	
Subban, P.K.	8474056	718	
Simmonds, Wayne	8474190	439	
Palmeiri, Kyle	8475151	373	
Vatanen, Sami	8475222	767	
Hall, Taylor	8475791	200	
Coleman, Blake	8476399	90	
Tennyson, Matt	8476807		
Severson, Damon	8476923	751	
Gusev, Nikita	8477038		
Butcher, Will	8477355	532	
Hayden, John	8477401	207	
Wood, Miles	8477425	501	
Mueller, Mirco	8477509	693	
Zacha, Pavel	8478401	504	
Blackwood, Mackenzie	8478406		6
Rooney, Kevin	8479291	416	
Bratt, Jesper	8479407	57	
Hischier, Nico	8480002	217	
Boqvist, Jesper	8480003		
Hughes, Jack	8481559		
Martin, Matt	8474709	331	
Kuhnhackl, Tom	8475832	278	
Ladd, Andrew	8471217	288	
Boychuk, Johnny	8470187	527	
Greiss, Thomas	8471306		25
Komarov, Leo	8473463	267	
Clutterbuck, Cal	8473504	88	
Brassard, Derick	8473544	56	
Varlamov, Semyon	8473575		72
Bailey, Josh	8474573	239	
Eberle, Jordan	8474586	144	
Leddy, Nick	8475181	662	
Cizikas, Casey	8475231	85	
Lee, Anders	8475314	295	
Nelson, Brock	8475754	20	
Mayfield, Scott	8476429	678	
Pelech, Adam	8476917	710	
Pulock, Ryan	8477506	724	
Johnston, Ross	8477527	245	
Dal Colle, Michael	8477936	113	
Toews, Devon	8478038	554	
Barzal, Mathew	8478445	33	
Beauvillier, Anthony	8478463	36	
Koivula, Otto	8479526		
Dobson, Noah	8480865		
Lundqvist, Henrik	8468685		40
Staal, Marc	8471686	668	
Smith, Brendan	8474090	514	
Haley, Micheal	8474230	199	
Kreider, Chris	8475184	272	
McKegg, Greg	8475735	338	
Fast, Jesper	8475855	157	
Strome, Ryan	8476458	400	
Zibanejad, Mika	8476459	506	
Skjei, Brady	8476869	755	
Trouba, Jacob	8476885	764	
Buchnevich, Pavel	8477402	62	
DeAngelo, Anthony	8477950	560	
Lemieux, Brendan	8477962	300	
Panarin, Artemi	8478550	374	
Fox, Adam	8479323		
Lindgren, Ryan	8479324		
Hajek, Libor	8479333		
Howden, Brett	8479353	222	
Andersson, Lias	8480072	285	
Chytil, Filip	8480078	83	
Georgiev, Alexandar	8480382		23
Kakko, Kaapo	8481554		
Laughton, Scott	8476872	294	
Morin, Samuel	8477502		
Elliott, Brian	8470880		22
Niskanen, Matt	8471702	698	
Stewart, Chris	8473485	817	
Giroux, Claude	8473512	185	
Braun, Justin	8474027	528	
van Riemsdyk, James	8474037	480	
Voracek, Jakub	8474161	487	
Pitlick, Tyler	8475752	391	
Hayes, Kevin	8475763	208	
Andreoff, Andy	8476404	805	
Couturier, Sean	8476461	100	
Gostisbehere, Shayne	8476906	597	
Raffl, Michael	8477290	403	
Hagg, Robert	8477462	610	
Sanheim, Travis	8477948	738	
Lindblom, Oskar	8478067	304	
Konecny, Travis	8478439	268	
Provorov, Ivan	8478500	723	
Myers, Philippe	8479026	707	
Twarynski, Carsen	8479358		
Hart, Carter	8479394		28
Farabee, Joel	8480797		
Hornqvist, Patric	8471887	220	
Malkin, Evgeni	8471215	322	
Crosby, Sidney	8471675	102	
Johnson, Jack	8471677	633	
Letang, Kris	8471724	663	
Schultz, Justin	8474602	746	
Dumoulin, Brian	8475208	571	
Bjugstad, Nick	8475760	44	
Rust, Bryan	8475810	420	
Galchenyuk, Alex	8476851	176	
Murray, Matt	8476899		44
Blueger, Teddy	8476927	47	
Ruhwedel, Chad	8477244	733	
Guentzel, Jake	8477404	196	
Jarry, Tristan	8477465		75
McCann, Jared	8477955	335	
Pettersson, Marcus	8477969	667	
Lafferty, Sam	8478043		
Marino, John	8478507		
Simon, Dominik	8478866	440	
Tanev, Brandon	8479293	24	
Aston-Reese, Zach	8479944	16	
Riikola, Juuso	8480945	7309	
Kahun, Dominik	8480946	253	
Backes, David	8470655	26	
DeBrusk, Jake	8478498	119	
Kuhlman, Karson	8480901	277	
Moore, John	8475186	634	
Miller, Kevan	8476191	644	
Chara, Zdeno	8465009	545	
Bergeron, Patrice	8470638	39	
Halak, Jaroslav	8470860		27
Krejci, David	8471276	273	
Rask, Tuukka	8471695		69
Marchand, Brad	8473419	326	
Kampfer, Steven	8474000	645	
Coyle, Charlie	8475745	101	
Wagner, Chris	8475780	69	
Nordstrom, Joakim	8475807	359	
Kuraly, Sean	8476374	281	
Ritchie, Brett	8476439	21	
Krug, Torey	8476792	653	
Grzelcyk, Matt	8476891	603	
Clifton, Connor	8477365	550	
Pastrnak, David	8477956	378	
Heinen, Danton	8478046	209	
Bjork, Anders	8478075	42	
Carlo, Brandon	8478443	539	
Senyshyn, Zach	8478485		
McAvoy, Charlie	8479325	679	
Vaakanainen, Urho	8480001		
Lindholm, Par	8480944	365	
Sobotka, Vladimir	8471743	444	
Scandella, Marco	8474618	743	
Hunwick, Matt	8471436	630	
Bogosian, Zach	8474567	522	
Hammond, Andrew	8477202		87
Pilut, Lawrence	8480935	716	
Okposo, Kyle	8473449	361	
Johansson, Marcus	8475149	243	
Hutton, Carter	8475622		10
Larsson, Johan	8475728	240	
Skinner, Jeff	8475784	442	
Miller, Colin	8476525	536	
Girgensons, Zemgus	8476878	184	
Vesey, Jimmy	8476918	485	
McCabe, Jake	8476931	680	
Ullmark, Linus	8476999		71
Gilmour, John	8477337		
Ristolainen, Rasmus	8477499	731	
Lazar, Curtis	8477508	786	
Sheary, Conor	8477839	434	
Reinhart, Sam	8477933	410	
Montour, Brandon	8477986	690	
Olofsson, Victor	8478109		
Eichel, Jack	8478403	147	
Rodrigues, Evan	8478542	415	
Mittelstadt, Casey	8479999	342	
Jokiharju, Henri	8480035	641	
Dahlin, Rasmus	8480839	555	
Kotkaniemi, Jesperi	8480829	270	
Weber, Shea	8470642	737	
Thompson, Nate	8470775	348	
Price, Carey	8471679		57
Petry, Jeff	8473507	713	
Byron, Paul	8474038	64	
Tatar, Tomas	8475193	468	
Chiarot, Ben	8475279	546	
Weal, Jordan	8475738	494	
Gallagher, Brendan	8475848	177	
Kinkaid, Keith	8476234		35
Cousins, Nick	8476393	98	
Reilly, Mike	8476422	728	
Armia, Joel	8476469	14	
Danault, Phillip	8476479	114	
Kulak, Brett	8476967	655	
Lehkonen, Artturi	8477476	296	
Drouin, Jonathan	8477494	130	
Domi, Max	8477503	123	
Folin, Christian	8477850	587	
Mete, Victor	8479376	687	
Fleury, Cale	8479985		
Suzuki, Nick	8480018		
Anisimov, Artem	8473573	12	
Sabourin, Scott	8477149		
Brown, Logan	8479366		
Anderson, Craig	8467950		9
Hainsey, Ron	8468493	611	
Ryan, Bobby	8471676	22	
Boedker, Mikkel	8474571	48	
Ennis, Tyler	8474589	150	
Goloubef, Cody	8474597	894	
Borowiecki, Mark	8474697	523	
Nilsson, Anders	8475195		54
DeMelo, Dylan	8476331	563	
Pageau, Jean-Gabriel	8476419	368	
Namestnikov, Vladislav	8476480	349	
Tierney, Chris	8476919	474	
Brown, Connor	8477015	66	
Duclair, Anthony	8477407	135	
Paul, Nick	8477426	380	
White, Colin	8478400	498	
Chabot, Thomas	8478469	544	
Chlapik, Filip	8478488		
Beaudin, J.C.	8478833		
Zaitsev, Nikita	8479458	780	
Brannstrom, Erik	8480073		
Davidsson, Jonathan	8480247		
Tkachuk, Brady	8480801	25	
Marner, Mitchell	8478483	329	
Spezza, Jason	8469455	447	
Muzzin, Jake	8474162	695	
Tavares, John	8475166	469	
Barrie, Tyson	8475197	516	
Marincin, Martin	8475716	675	
Holl, Justin	8475718	626	
Hyman, Zach	8475786	226	
Andersen, Frederik	8475883		2
Shore, Nick	8476406	814	
Reilly, Morgan	8476853	729	
Ceci, Cody	8476879	542	
Kerfoot, Alexander	8477021	260	
Johnsson, Andreas	8477341	244	
Petan, Nic	8477464	388	
Gauthier, Frederik	8477512	181	
Nylander, William	8477939	491	
Kapanen, Kasperi	8477953	256	
Dermott, Travis	8478408	565	
Timashov, Dmytro	8478857		
Kaskisuo, Kasimir	8479288		
Matthews, Auston	8479318	334	
Moore, Trevor	8479675	463	
Mikheyev, Ilya	8481624		
Martinook, Jordan	8476921	332	
Luostarinen, Eetu	8480185		
Reimer, James	8473503		61
Staal, Jordan	8473533	231	
