1	ATL	Atlanta	Flashers	82	9	33	4	22	125	236	145	19	243	163	51	238	424	3	8	12	3	1	21	1	5	18	1	1	0	8	0	0	1	28	2	0	5	2	3	1141	1969	1196	1593	827	1143	3805	1195	7	0	2019-20	Playoffs
2	AUG	Augusta	Grn. Jackets	46	26	16	4	56	189	153	154	30	254	168	25	280	447	6	11	8	4	15	8	0	16	5	3	2	0	19	2	2	2	11	0	5	3	2	5	1609	1618	1357	1407	1022	973	5213	1313	3	1	2019-20	Playoffs
3	CHY	Cheyenne	Desperado	46	24	17	5	53	200	158	175	30	285	160	31	238	446	5	15	6	2	9	11	3	14	7	3	1	2	19	2	2	3	10	2	2	5	1	9	1773	1496	1533	1433	1072	977	5175	1319	2	1	2019-20	Playoffs
4	CIN	Cincinnati	Cyclones	46	19	22	5	43	173	163	143	33	226	156	34	245	443	6	11	10	2	8	12	3	10	11	3	0	2	15	3	0	1	17	1	3	2	4	3	1634	1524	1320	1444	1080	1095	5026	1252	7	0	2019-20	Playoffs
5	GRE	Green Bay	Glory	46	15	27	4	34	135	172	165	20	283	159	32	254	467	3	8	12	3	7	15	1	5	16	3	0	1	10	0	2	1	21	2	4	6	0	5	1387	1554	1368	1382	1075	1084	4606	1400	6	1	2019-20	Playoffs
6	IND	Indianapolis	Goats	46	29	12	5	63	208	133	154	43	238	137	27	224	433	5	16	5	2	13	7	3	15	7	2	1	1	23	2	1	1	7	2	5	3	2	4	1870	1387	1628	1511	1033	1008	4984	1260	1	3	2019-20	Playoffs
7	KEL	Kelowna	Mountaineers	45	17	22	6	40	143	162	162	26	259	170	31	276	473	2	11	9	2	6	13	4	7	14	3	2	2	12	1	0	2	16	2	3	5	4	4	1549	1761	1327	1480	806	925	4335	1071	7	1	2019-20	Playoffs
8	LSB	Lone Star	Brahmas	46	17	27	2	36	152	172	180	35	288	155	31	248	436	7	12	11	0	5	16	2	8	15	1	2	2	10	6	1	2	14	0	5	7	1	3	1742	1654	1238	1459	1087	1023	4919	1340	6	0	2019-20	Playoffs
9	MEM	Memphis	Hound Dogs	45	26	16	3	55	163	141	144	24	224	178	20	305	446	7	14	7	1	12	9	2	16	6	2	1	2	16	1	1	4	11	1	6	4	1	6	1503	1633	1441	1330	962	974	4664	1299	1	1	2019-20	Playoffs
10	MIL	Milwaukee	Ice Dragons	45	33	10	2	68	181	115	161	36	250	145	27	228	377	3	16	6	1	17	4	1	19	3	2	1	0	26	0	0	3	8	2	4	2	0	11	1918	1373	1643	1140	1000	881	5165	1240	1	3	2019-20	Playoffs
11	MSG	Mississauga	North Stars	46	15	30	1	31	143	223	142	30	225	188	46	297	521	10	8	14	1	7	16	0	5	19	0	2	1	8	1	0	1	28	1	6	1	0	6	1695	1525	1077	1560	1027	1014	4955	1357	1	0	2019-20	Playoffs
12	OAK	Oakland	Assassins	46	28	13	5	61	174	128	179	35	281	157	24	263	421	1	17	5	1	11	8	4	13	8	3	2	1	25	2	1	1	8	0	2	3	4	5	1738	1456	1539	1361	1057	1037	5267	1242	4	3	2019-20	Playoffs
13	OKL	Oklahoma	Oil Barons	46	14	27	5	33	118	177	159	24	261	144	31	222	395	0	9	12	2	5	15	3	10	12	2	3	1	9	3	4	4	18	0	1	6	1	2	1568	1766	1192	1641	992	1034	4695	1333	3	1	2019-20	Playoffs
14	PEO	Peoria	Prowlers	46	25	17	4	54	173	135	133	28	205	154	23	255	426	3	13	9	1	12	8	3	11	10	3	0	0	21	1	1	0	13	1	4	3	2	7	1780	1655	1328	1394	1008	1002	5147	1187	1	1	2019-20	Playoffs
15	SFC	San Fran.	Fight. Cocks	46	17	25	4	38	151	173	175	30	279	167	33	272	471	6	13	8	2	4	17	2	11	10	3	1	2	9	2	1	0	18	0	8	5	3	3	1613	1535	1543	1254	1034	1025	5200	1395	2	0	2019-20	Playoffs
16	SEA	Seattle	Storm	46	29	14	3	61	181	130	165	32	271	179	38	281	548	5	16	5	2	13	9	1	15	7	2	2	0	24	0	1	1	13	0	4	1	2	8	1479	1436	1289	1496	1070	983	4837	1207	2	6	2019-20	Playoffs
17	SCS	S. Carolina	Stingrays	46	21	21	4	46	160	162	171	40	259	172	26	273	462	2	12	7	4	9	14	0	9	13	2	2	1	14	1	2	2	16	0	5	4	2	4	1335	1499	1665	1217	1047	1097	4421	1285	2	1	2019-20	Playoffs
18	STA	Staten Isl.	Killer Bees	45	27	13	5	59	200	136	190	43	287	148	29	237	389	10	16	6	1	11	7	4	14	7	3	0	1	22	1	1	1	11	2	4	1	2	7	1703	1312	1616	1176	1080	936	5058	1248	0	2	2019-20	Playoffs
19	VIC	Victoria	Vipers	46	16	29	1	33	133	193	156	34	256	160	33	256	489	4	9	13	1	7	16	0	8	15	1	0	0	12	0	0	0	26	0	4	3	1	3	1364	1769	1360	1429	935	1068	4017	1241	7	3	2019-20	Playoffs
20	WIT	Wichita	Wolfpack	46	14	30	2	30	137	177	152	21	255	145	29	237	408	3	6	15	2	8	15	0	7	15	2	0	4	11	3	0	1	19	2	2	8	0	2	1689	1636	1475	1415	1087	1083	4550	1252	5	0	2019-20	Playoffs
