4	Abdelkader, Justin	4.250	4.250	4.250	4.250	4.250
5	Aberg, Pontus	0.650	0.700	RFA		
6	Acciari, Noel	0.725	1.667	1.667	1.667	UFA
7	Agostino, Kenny	0.700	0.738	0.738	UFA	
8	Agozzino, Andrew	0.650	0.700	0.700	UFA	
9	Aho, Sebastian	1.775	8.454	8.454	8.454	8.454
10	Amadio, Michael	0.925	0.700	0.700	RFA	
	Anas, Sam	0.675	0.675	UFA		
241	Anderson, Joseph	0.925	0.925	RFA		
246	Anderson, Josh	1.850	1.850	RFA		
285	Andersson, Lias	1.744	1.744	1.744	RFA	
805	Andreoff, Andy	0.678	0.750	0.750	UFA	
11	Andrighetto, Sven	1.400	UFA			
12	Anisimov, Artem	4.550	4.550	4.550	UFA	
13	Appleton, Mason	0.758	0.758	RFA		
107	Archibald, Darren	0.650	UFA			
228	Archibald, Josh	0.675	1.000	UFA		
14	Armia, Joel	1.850	2.600	2.600	UFA	
15	Arvidsson, Viktor	4.250	4.250	4.250	4.250	4.250
	Asplund, Rasmus	0.925	0.925	0.925	RFA	
16	Aston-Reese, Zach	0.925	1.000	1.000	RFA	
17	Athanasiou, Andreas	3.000	3.000	RFA		
18	Atkinson, Cam	5.875	5.875	5.875	5.875	5.875
	Aube-Kubel, Nicolas	0.872	0.700	RFA		
26	Backes, David	6.000	6.000	6.000	UFA	
27	Backlund, Mikael	5.350	5.350	5.350	5.350	5.350
28	Backstrom, Nicklas	6.700	6.700	UFA		
29	Baertschi, Sven	3.367	3.367	3.367	UFA	
239	Bailey, Josh	5.000	5.000	5.000	5.000	5.000
251	Bailey, Justin	0.715	0.700	RFA		
30	Balcers, Rudolfs	0.925	0.925	RFA		
	Baptiste, Nicholas	0.788	UFA			
31	Barbashev, Ivan	0.863	1.475	1.475	RFA	
	Barber, Riley	0.650	0.700	RFA		
32	Barkov, Aleksander	5.900	5.900	5.900	5.900	UFA
33	Barzal, Mathew	1.263	1.263	RFA		
34	Batherson, Drake	0.773	0.773	0.773	RFA	
35	Beagle, Jay	3.000	3.000	3.000	3.000	UFA
36	Beauvillier, Anthony	1.107	2.100	2.100	RFA	
	Beleskey, Matt	3.800	3.800	UFA		
37	Bellemare, Pierre-Edouard	1.450	1.800	1.800	UFA	
	Bemstrom, Emil	SWEDEN	1.633	1.633	1.633	RFA
233	Benn, Jamie	9.500	9.500	9.500	9.500	9.500
	Bennett, Beau	KHL	0.725	UFA		
38	Bennett, Sam	1.950	2.550	2.550	RFA	
39	Bergeron, Patrice	6.875	6.875	6.875	6.875	UFA
40	Berglund, Patrik	3.850	3.850	3.850	3.850	UFA
913	Bernier, Steve	0.650	UFA			
41	Bertuzzi, Tyler	1.400	1.400	RFA		
65	Bishop, Clark	0.713	0.700	RFA		
42	Bjork, Anders	1.067	1.067	RFA		
43	Bjorkstrand, Oliver	2.500	2.500	2.500	RFA	
44	Bjugstad, Nick	4.100	4.100	4.100	UFA	
	Blackwell, Colin	0.675	0.675	UFA		
45	Blais, Samuel	0.726	0.850	RFA		
46	Blandisi, Joseph	0.680	0.700	RFA		
	Blidh, Anton	0.650	0.700	0.700	RFA	
47	Blueger, Teddy	0.650	0.750	0.750	RFA	
48	Boedker, Mikkel	4.000	4.000	UFA		
49	Boeser, Brock	1.492	5.875	5.875	5.875	RFA
50	Bonino, Nick	4.100	4.100	4.100	UFA	
	Boqvist, Jesper	SWEDEN	0.925	0.925	0.925	RFA
51	Borgstrom, Henrik	1.492	1.492	RFA		
850	Boucher, Reid	0.725	0.750	RFA		
52	Bourque, Gabriel	0.950	0.700	UFA		
53	Boyd, Travis	0.800	0.800	RFA		
54	Boyle, Brian	2.750	0.940	UFA		
55	Bozak, Tyler	5.000	5.000	5.000	UFA	
56	Brassard, Derick	5.000	1.200	UFA		
57	Bratt, Jesper	0.825	0.825	RFA		
58	Brickley, Connor	0.650	UFA			
59	Brodziak, Kyle	1.150	1.150	UFA		
60	Brodzinski, Jonny	0.650	0.700	UFA		
61	Brouwer, Troy	0.850	0.750	UFA		
66	Brown, Connor	2.100	2.100	RFA		
108	Brown, Dustin	5.875	5.875	5.875	5.875	UFA
249	Brown, J.T.	0.688	0.688	UFA		
	Brown, Patrick	0.650	0.700	0.700	UFA	
62	Buchnevich, Pavel	0.925	3.250	3.250	RFA	
	Bunnaman, Connor	0.790	0.790	0.790	RFA	
	Bunting, Michael	0.715	0.738	0.738	RFA	
63	Burakovsky, Andre	3.000	3.250	RFA		
64	Byron, Paul	1.167	3.400	3.400	3.400	3.400
	Caamano, Nicholas	0.738	0.738	0.738	RFA	
71	Caggiula, Drake	1.500	1.500	RFA		
72	Callahan, Ryan	5.800	5.800	UFA		
73	Calvert, Matt	2.850	2.850	2.850	UFA	
74	Carey, Paul	0.700	0.700	0.700	UFA	
75	Carpenter, Ryan	0.650	1.000	1.000	1.000	UFA
808	Carr, Daniel	0.750	0.700	UFA		
	Carrick, Sam	0.650	0.700	UFA		
76	Carrier, William	0.725	0.725	RFA		
77	Carter, Jeff	5.273	5.273	5.273	5.273	UFA
78	Cave, Colby	0.675	0.675	RFA		
79	Cehlarik, Peter	0.925	0.700	RFA		
80	Chaput, Michael	0.675	0.675	UFA		
81	Chartier, Rourke	0.863	UFA			
82	Chiasson, Alex	0.650	2.150	2.150	UFA	
	Chibisov, Andrei	KHL	0.925	UFA		
	Chlapik, Filip	0.894	0.894	RFA		
83	Chytil, Filip	1.244	1.244	1.244	RFA	
84	Cirelli, Anthony	0.936	0.936	RFA		
85	Cizikas, Casey	3.350	3.350	3.350	UFA	
971	Clarkson, David	5.250	5.250	UFA		
87	Clifford, Kyle	1.600	1.600	UFA		
88	Clutterbuck, Cal	3.500	3.500	3.500	3.500	UFA
89	Cogliano, Andrew	3.250	3.250	3.250	UFA	
90	Coleman, Blake	1.800	1.800	1.800	UFA	
91	Comeau, Blake	2.400	2.400	2.400	UFA	
92	Compher, J.T.	1.000	3.500	3.500	3.500	3.500
93	Comtois, Max	0.925	0.925	0.925	RFA	
1515	Conacher, Cory	0.650	0.700	UFA		
94	Condra, Erik	0.700	UFA			
96	Connor, Kyle	1.775	7.143	7.143	7.143	7.143
95	Connolly, Brett	1.500	3.500	3.500	3.500	3.500
97	Copp, Andrew	1.000	2.280	2.280	RFA	
98	Cousins, Nick	1.000	1.000	RFA		
99	Couture, Logan	6.000	8.000	8.000	8.000	8.000
100	Couturier, Sean	4.333	4.333	4.333	4.333	UFA
101	Coyle, Charlie	3.200	3.200	5.250	5.250	5.250
	Cramarossa, Joseph	0.650	0.700	UFA		
	Criscuolo, Kyle	0.650	0.700	UFA		
102	Crosby, Sidney	8.700	8.700	8.700	8.700	8.700
103	Crouse, Lawson	1.603	1.533	1.533	1.533	RFA
104	Cullen, Matt	0.650	RETIRED			
106	Czarnik, Austin	1.250	1.250	UFA		
	Dach, Kirby	MINORS	3.425	3.425	3.425	RFA
112	Dadonov, Evgenii	4.000	4.000	UFA		
113	Dal Colle, Michael	3.063	0.700	0.700	RFA	
977	Dalpe, Zac	0.725	0.750	0.750	UFA	
114	Danault, Phillip	3.083	3.083	3.083	UFA	
115	Dano, Marko	0.800	0.800	RFA		
	Dauphin, Laurent	0.788	0.700	RFA		
	Davidsson, Jonathan	0.850	0.850	0.850	RFA	
116	De La Rose, Jacob	0.900	0.900	RFA		
117	Dea, Jean-Sebastien	0.650	0.700	0.700	UFA	
118	DeBrincat, Alex	0.894	0.894	6.400	6.400	6.400
119	DeBrusk, Jake	1.288	1.288	RFA		
120	DesLauriers, Nicolas	0.950	0.950	UFA		
121	Di Giuseppe, Phillip	0.750	0.700	RFA		
122	Dickinson, Jason	0.875	1.500	1.500	RFA	
123	Domi, Max	3.150	3.150	RFA		
124	Donato, Ryan	1.350	1.900	1.900	RFA	
125	Donskoi, Joonas	1.900	3.900	3.900	3.900	3.900
126	Dowd, Nic	0.650	0.750	0.750	0.750	UFA
127	Dowling, Justin	0.650	0.750	0.750	UFA	
128	Draisaitl, Leon	8.500	8.500	8.500	8.500	8.500
129	Dries, Sheldon	0.925	0.735	RFA		
130	Drouin, Jonathan	5.500	5.500	5.500	5.500	5.500
131	Dube, Dillon	0.911	0.911	0.911	RFA	
132	Dubinsky, Brandon	5.850	5.850	5.850	UFA	
133	Dubois, Pierre-Luc	3.394	3.394	RFA		
134	Duchene, Matt	6.000	8.000	8.000	8.000	8.000
135	Duclair, Anthony	0.650	1.650	RFA		
	Dumont, Gabriel	0.650	0.700	0.700	UFA	
136	Dvorak, Christian	1.107	4.450	4.450	4.450	4.450
137	Dzingel, Ryan	1.800	3.375	3.375	UFA	
142	Eakin, Cody	3.850	3.850	UFA		
143	Eaves, Patrick	3.150	3.150	UFA		
144	Eberle, Jordan	6.000	5.500	5.500	5.500	5.500
145	Ehlers, Nikolaj	6.000	6.000	6.000	6.000	6.000
146	Ehn, Christoffer	0.925	0.925	RFA		
147	Eichel, Jack	10.000	10.000	10.000	10.000	10.000
148	Elie, Remi	0.735	0.700	RFA		
149	Eller, Lars	3.500	3.500	3.500	3.500	3.500
	Engvall, Pierre	0.925	0.925	RFA		
150	Ennis, Tyler	0.650	0.800	UFA		
151	Eriksson, Loui	6.000	6.000	6.000	6.000	UFA
152	Eriksson Ek, Joel	1.107	1.488	1.488	RFA	
153	Erne, Adam	0.800	1.050	RFA		
155	Fabbri, Robby	0.925	0.900	RFA		
156	Faksa, Radek	2.200	2.200	RFA		
	Farabee, Joel	NCAA	1.425	1.425	1.425	RFA
	Fasching, Hudson	0.874	0.738	0.738	RFA	
157	Fast, Jesper	1.850	1.850	UFA		
158	Fehr, Eric	1.000	UFA			
159	Ferland, Micheal	1.750	3.500	3.500	3.500	3.500
160	Fiala, Kevin	1.363	3.000	3.000	RFA	
161	Filppula, Valtteri	2.750	3.000	3.000	UFA	
162	Fischer, Christian	1.076	1.076	RFA		
163	Foegele, Warren	0.800	0.800	RFA		
164	Fogarty, Steven	0.709	0.700	UFA		
310	Foligno, Marcus	2.875	2.875	2.875	UFA	
345	Foligno, Nick	5.500	5.500	5.500	UFA	
165	Forsbacka-Karlsson, Jakob	0.925	SWEDEN			
166	Forsberg, Filip	6.000	6.000	6.000	6.000	UFA
167	Fortin, Alexandre	0.707	0.707	RFA		
168	Frederic, Trent	1.138	1.138	1.138	RFA	
169	Fritz, Tanner	0.650	0.700	0.700	UFA	
170	Frk, Martin	1.050	0.700	RFA		
857	Froese, Byron	0.650	0.700	UFA		
171	Frolik, Michael	4.300	4.300	UFA		
	Frost, Morgan	0.894	0.863	0.863	0.863	RFA
831	Gaborik, Marian	4.875	4.875	4.875	UFA	
174	Gabriel, Kurtis	0.650	0.700	UFA		
175	Gagner, Sam	3.150	3.150	UFA		
176	Galchenyuk, Alex	4.900	4.900	UFA		
177	Gallagher, Brendan	3.750	3.750	3.750	UFA	
178	Gambardella, Joseph	0.725	0.700	0.700	UFA	
	Gambrell, Dylan	1.138	0.700	0.700	RFA	
	Gardner, Rhett	NCAA	0.925	0.925	RFA	
179	Garland, Conor	0.822	0.775	0.775	RFA	
	Gaudet, Tyler	0.650	0.700	UFA		
180	Gaudette, Adam	1.492	1.492	RFA		
154	Gaudreau, Frederick	0.667	0.667	UFA		
229	Gaudreau, Johnny	6.750	6.750	6.750	6.750	UFA
784	Gaunce, Brendan	0.750	0.700	RFA		
181	Gauthier, Frederik	0.675	0.675	RFA		
	Gauthier, Julien	1.163	1.163	1.163	RFA	
921	Gerbe, Nathan	0.675	0.675	UFA		
	Gettinger, Tim	0.730	0.730	0.730	RFA	
182	Getzlaf, Ryan	8.250	8.250	8.250	UFA	
183	Gibbons, Brian	1.000	0.725	UFA		
184	Girgensons, Zemgus	1.600	1.600	UFA		
185	Giroux, Claude	8.275	8.275	8.275	8.275	UFA
	Glass, Cody	1.744	1.713	1.713	1.713	RFA
186	Glendening, Luke	1.800	1.800	1.800	UFA	
187	Goldobin, Nikolay	1.076	0.900	RFA		
188	Goodrow, Barclay	0.650	0.925	0.925	UFA	
	Goulbourne, Tyrell	0.715	0.700	0.700	UFA	
189	Gourde, Yanni	1.000	5.167	5.167	5.167	5.167
190	Grabner, Michael	3.350	3.350	3.350	UFA	
316	Granlund, Markus	1.475	1.300	UFA		
341	Granlund, Mikael	5.750	5.750	UFA		
191	Grant, Derek	0.650	0.700	UFA		
	Graovac, Tyler	0.650	0.700	UFA		
192	Greenway, Jordan	1.225	1.225	RFA		
193	Greer, A.J.	0.825	0.735	RFA		
	Gregor, Noah	0.850	0.850	0.850	RFA	
924	Griffith, Seth	0.650	0.700	UFA		
194	Grimaldi, Rocco	0.650	1.000	UFA		
195	Grundstrom, Carl	0.925	0.925	RFA		
196	Guentzel, Jake	0.925	6.000	6.000	6.000	6.000
197	Gurianov, Denis	1.644	1.644	RFA		
	Gusev, Nikita	0.925	4.500	4.500	UFA	
	Gustafsson, David	SWEDEN	0.925	0.925	0.925	RFA
	Haas, Gaetan	SWISS	1.563	UFA		
198	Hagelin, Carl	4.000	2.750	2.750	2.750	2.750
199	Haley, Michael	0.825	0.700	UFA		
200	Hall, Taylor	6.000	6.000	UFA		
201	Hannikainen, Markus	0.675	0.750	UFA		
202	Hanzal, Martin	4.750	4.750	UFA		
203	Hartman, Ryan	0.875	1.900	1.900	RFA	
204	Hathaway, Garnet	0.850	1.500	1.500	1.500	1.500
205	Haula, Erik	2.750	2.750	UFA		
206	Hawryluk, Jayce	0.925	0.874	RFA		
207	Hayden, John	0.750	0.750	RFA		
861	Hayes, Jimmy	0.650	UFA			
208	Hayes, Kevin	5.175	7.143	7.143	7.143	7.143
	Hayton, Barrett	2.675	2.644	2.644	2.644	RFA
209	Heinen, Danton	0.996	2.800	2.800	RFA	
210	Helm, Darren	3.850	3.850	3.850	UFA	
211	Hendricks, Matt	0.700	RETIRED			
212	Henrique, Adam	4.000	5.850	5.850	5.850	5.850
213	Hertl, Tomas	5.625	5.625	5.625	5.625	UFA
	Highmore, Matthew	0.925	0.925	RFA		
214	Hinostroza, Vinnie	1.500	1.500	RFA		
215	Hintz, Roope	0.925	0.925	RFA		
216	Hirose, Taro	1.350	1.350	RFA		
217	Hischier, Nico	3.775	3.775	7.250	7.250	7.250
218	Ho-Sang, Joshua	1.076	0.874	RFA		
219	Hoffman, Mike	5.188	5.188	UFA		
220	Hornqvist, Patric	5.300	5.300	5.300	5.300	5.300
1006	Horton, Nathan	5.300	5.300	UFA		
221	Horvat, Bo	5.500	5.500	5.500	5.500	5.500
811	Hossa, Marian	5.275	5.275	5.275	UFA	
222	Howden, Brett	0.863	0.863	0.863	RFA	
223	Huberdeau, Jonathan	5.900	5.900	5.900	5.900	5.900
224	Hudon, Charles	0.650	0.800	RFA		
	Hughes, Jack	USDP	3.775	3.775	3.775	RFA
109	Hunt, Dryden	0.925	0.715	RFA		
225	Hyka, Tomas	0.650	KHL			
226	Hyman, Zach	2.250	2.250	2.250	UFA	
227	Iafallo, Alex	0.925	2.425	2.425	UFA	
234	Jankowski, Mark	1.675	1.675	RFA		
235	Janmark, Mattias	2.300	2.300	UFA		
236	Jarnkrok, Calle	2.000	2.000	2.000	2.000	UFA
237	Jaskin, Dmitrij	1.100	KHL			
238	Jenner, Boone	3.750	3.750	3.750	3.750	UFA
242	Johansen, Ryan	8.000	8.000	8.000	8.000	8.000
243	Johansson, Marcus	4.583	4.500	4.500	UFA	
	Johnson, Adam	0.925	0.700	RFA		
286	Johnson, Luke	0.925	0.700	0.700	RFA	
462	Johnson, Tyler	5.000	5.000	5.000	5.000	5.000
244	Johnsson, Andreas	0.788	3.400	3.400	3.400	3.400
245	Johnston, Ross	1.000	1.000	1.000	1.000	UFA
311	Jones, Max	0.863	0.863	0.863	RFA	
