1	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040
2	4.250	4.250	4.250	4.250	UFA																
3	0.700	RFA																			
4	1.667	1.667	1.667	UFA																	
10	0.738	0.738	UFA																		
11	0.700	0.700	UFA																		
12	8.454	8.454	8.454	8.454	8.454	UFA															
1819	0.925	RFA																			
16	4.350	4.350	UFA																		
1820	0.725	UFA																			
18	4.625	4.625	4.625	UFA																	
19	0.700	0.700	RFA																		
1805	0.675	UFA																			
21	5.000	5.000	UFA																		
24	4.750	UFA																			
22	0.925	RFA																			
23	1.850	RFA																			
26	1.744	1.744	RFA																		
27	0.863	4.550	4.550	4.550	4.550	4.550	4.550	UFA													
28	0.750	0.750	UFA																		
29	UFA																				
30	4.550	4.550	UFA																		
32	0.758	RFA																			
33	UFA																				
34	1.000	1.500	1.500	UFA																	
36	2.600	2.600	UFA																		
41	4.250	4.250	4.250	4.250	4.250	UFA															
1806	0.925	0.925	RFA																		
43	1.000	1.000	RFA																		
44	3.000	RFA																			
45	5.875	5.875	5.875	5.875	5.875	5.875	UFA														
1807	0.700	RFA																			
1821	0.675	UFA																			
56	6.000	6.000	UFA																		
57	5.350	5.350	5.350	5.350	5.350	UFA															
59	6.700	9.200	9.200	9.200	9.200	9.200	UFA														
61	3.367	3.367	UFA																		
62	5.000	5.000	5.000	5.000	5.000	UFA															
63	0.700	RFA																			
64	0.925	RFA																			
1808	UFA																				
66	1.475	1.475	RFA																		
1823	0.700	RFA																			
67	1.450	UFA																			
69	5.900	5.900	5.900	UFA																	
72	5.500	UFA																			
73	0.700	UFA																			
75	1.263	RFA																			
78	0.773	0.773	RFA																		
80	0.700	RFA																			
81	3.000	3.000	3.000	UFA																	
82	0.798	RFA																			
85	1.000	UFA																			
86	2.100	2.100	RFA																		
90	3.800	UFA																			
94	1.800	1.800	UFA																		
96	1.633	1.633	1.633	RFA																	
97	9.500	9.500	9.500	9.500	9.500	9.500	UFA														
98	2.000	2.000	UFA																		
99	0.725	UFA																			
100	2.550	2.550	RFA																		
101	1.900	RFA																			
106	6.875	6.875	6.875	UFA																	
108	3.850	3.850	3.850	UFA																	
110	3.000	3.000	UFA																		
109	UFA																				
113	1.400	RFA																			
1829	0.700	UFA																			
117	0.825	0.875	UFA																		
1830	0.700	0.700	RFA																		
119	4.400	4.400	UFA																		
123	4.917	4.917	4.917	4.917	UFA																
122	0.700	RFA																			
124	0.700	UFA																			
125	1.067	RFA																			
126	2.500	2.500	RFA																		
127	4.100	4.100	UFA																		
1810	0.675	UFA																			
128	0.913	RFA																			
129	0.850	RFA																			
132	0.700	RFA																			
1811	0.700	0.700	RFA																		
133	0.750	0.750	RFA																		
135	10.000	10.000	10.000	10.000	10.000	10.000	10.000	UFA													
137	4.000	UFA																			
138	5.875	5.875	5.875	RFA																	
139	1.300	UFA																			
143	4.100	4.100	UFA																		
1825	1.744	1.744	1.744	RFA																	
147	0.925	0.925	0.925	RFA																	
1826	0.700	RFA																			
148	1.492	RFA																			
149	1.200	UFA																			
150	1.375	1.375	1.375	UFA																	
1827	1.658	1.658	RFA																		
152	0.750	RFA																			
160	0.700	UFA																			
161	3.500	UFA																			
1828	0.700	RFA																			
162	1.000	RFA																			
165	6.000	6.000	6.000	UFA																	
167	0.800	RFA																			
170	0.940	UFA																			
172	5.000	5.000	UFA																		
174	1.344	1.344	RFA																		
176	1.200	UFA																			
177	0.825	RFA																			
178	3.800	UFA																			
179	0.675	UFA																			
182	UFA																				
1824	0.700	0.700	RFA																		
187	4.650	UFA																			
188	4.167	4.167	UFA																		
189	1.150	UFA																			
190	0.700	UFA																			
191	1.225	UFA																			
192	0.750	UFA																			
194	2.100	RFA																			
195	5.875	5.875	5.875	UFA																	
197	0.688	UFA																			
198	0.675	RFA																			
1812	0.700	0.700	UFA																		
205	3.250	3.250	RFA																		
206	RETIRED																				
1813	0.790	0.790	RFA																		
1814	0.738	0.738	RFA																		
208	3.250	RFA																			
212	8.000	8.000	8.000	8.000	8.000	8.000	UFA														
214	3.733	3.733	3.733	UFA																	
216	RETIRED																				
217	7.600	7.600	UFA																		
218	3.400	3.400	3.400	3.400	UFA																
219	0.738	0.738	RFA																		
220	1.500	RFA																			
223	5.800	UFA																			
224	2.850	2.850	UFA																		
1831	UFA																				
228	0.675	1.650	1.650	UFA																	
232	0.700	0.700	UFA																		
235	2.850	2.850	RFA																		
236	8.000	8.000	8.000	8.000	8.000	8.000	8.000	UFA													
1832	0.894	RFA																			
239	1.000	1.000	1.000	UFA																	
240	0.700	UFA																			
241	1.500	1.500	UFA																		
1815	0.700	UFA																			
1833	0.700	0.700	RFA																		
242	0.725	1.400	1.400	1.400	1.400	UFA															
246	5.273	5.273	5.273	UFA																	
247	0.675	RFA																			
248	4.500	UFA																			
249	0.700	RFA																			
250	0.890	RFA																			
251	1.223	8.000	8.000	8.000	8.000	8.000	8.000	8.000	8.000	UFA											
252	0.675	UFA																			
253	3.750	UFA																			
254	UFA																				
1834	UFA																				
258	3.500	3.500	3.500	UFA																	
259	2.150	2.150	UFA																		
1816	0.925	UFA																			
262	0.894	RFA																			
263	0.894	0.894	RFA																		
265	4.600	4.600	4.600	4.600	4.600	4.600	UFA														
266	1.244	1.244	RFA																		
267	0.936	RFA																			
268	3.350	3.350	UFA																		
269	0.700	UFA																			
272	5.250	UFA																			
275	0.700	0.700	UFA																		
276	1.600	UFA																			
277	0.735	1.000	1.000	1.000	UFA																
280	3.500	3.500	3.500	UFA																	
281	1.700	1.700	UFA																		
282	3.250	3.250	UFA																		
286	4.250	4.250	UFA																		
287	1.800	1.800	UFA																		
288	2.400	2.400	UFA																		
290	3.500	3.500	3.500	3.500	UFA																
292	0.700	0.700	RFA																		
293	0.925	0.925	RFA																		
294	0.700	UFA																			
295	2.400	UFA																			
296	UFA																				
298	1.375	UFA																			
300	3.500	3.500	3.500	3.500	UFA																
301	7.143	7.143	7.143	7.143	7.143	7.143	7.143	UFA													
304	1.100	1.100	1.100	UFA																	
305	2.280	2.280	RFA																		
1835	0.700	UFA																			
307	1.000	RFA																			
308	8.000	8.000	8.000	8.000	8.000	8.000	8.000	8.000	UFA												
309	4.333	4.333	4.333	UFA																	
311	3.200	5.250	5.250	5.250	5.250	5.250	5.250	UFA													
1817	0.700	UFA																			
313	6.000	UFA																			
1818	0.700	UFA																			
315	8.700	8.700	8.700	8.700	8.700	8.700	UFA														
316	1.533	1.533	1.533	RFA																	
317	RETIRED																				
320	1.250	UFA																			
322	3.425	3.425	3.425	RFA																	
323	4.000	UFA																			
325	3.775	3.775	RFA																		
326	0.850	0.850	RFA																		
327	0.700	0.700	RFA																		
328	3.167	UFA																			
329	0.750	0.750	UFA																		
330	3.083	3.083	UFA																		
333	0.800	RFA																			
1836	0.675	RFA																			
335	UFA																				
1837	0.700	RFA																			
337	0.700	UFA																			
338	0.850	0.850	RFA																		
340	4.550	4.550	4.550	UFA																	
341	0.900	RFA																			
343	0.700	0.700	UFA																		
344	0.925	RFA																			
345	0.894	6.400	6.400	6.400	RFA																
346	1.288	RFA																			
347	5.000	5.000	5.000	UFA																	
348	0.750	UFA																			
349	1.000	1.000	1.000	UFA																	
350	1.900	UFA																			
351	0.900	UFA																			
352	4.500	4.500	UFA																		
354	1.050	1.050	RFA																		
356	0.863	RFA																			
360	0.950	1.000	1.000	UFA																	
362	1.250	1.250	1.250	UFA																	
364	0.700	RFA																			
366	1.500	1.500	RFA																		
367	3.270	UFA																			
370	1.250	RFA																			
372	1.432	1.432	1.432	RFA																	
374	3.150	RFA																			
375	1.150	UFA																			
376	1.900	1.900	RFA																		
379	3.900	3.900	3.900	3.900	UFA																
381	0.700	RFA																			
382	11.000	11.000	11.000	11.000	11.000	11.000	11.000	11.000	UFA												
383	0.750	0.750	0.750	UFA																	
384	0.750	0.750	UFA																		
386	8.500	8.500	8.500	8.500	8.500	8.500	UFA														
390	0.735	RFA																			
391	5.500	5.500	5.500	5.500	UFA																
393	0.911	0.911	RFA																		
395	5.850	5.850	UFA																		
396	4.333	4.333	UFA																		
397	3.394	RFA																			
398	8.000	8.000	8.000	8.000	8.000	8.000	8.000	UFA													
399	1.650	RFA																			
400	6.000	6.000	6.000	6.000	UFA																
1838	0.700	0.700	UFA																		
402	4.100	4.100	4.100	4.100	UFA																
404	0.888	RFA																			
407	4.450	4.450	4.450	4.450	4.450	4.450	UFA														
409	3.375	3.375	UFA																		
411	3.850	UFA																			
413	3.150	UFA																			
415	5.500	5.500	5.500	5.500	5.500	UFA															
1839	0.700	RFA																			
416	6.000	6.000	UFA																		
417	3.100	UFA																			
418	6.000	6.000	6.000	6.000	6.000	6.000	UFA														
419	0.925	RFA																			
421	10.000	10.000	10.000	10.000	10.000	10.000	10.000	UFA													
422	7.500	7.500	7.500	7.500	7.500	7.500	UFA														
423	3.750	3.750	3.750	UFA																	
425	8.250	8.250	8.250	8.250	8.250	8.250	8.250	8.250	UFA												
427	0.700	RFA																			
428	3.500	3.500	3.500	3.500	UFA																
431	2.000	UFA																			
432	6.250	6.250	6.250	6.250	6.250	6.250	6.250	6.250	UFA												
438	1.500	UFA																			
1840	0.700	RFA																			
1841	0.925	1.250	1.250	RFA																	
439	0.800	UFA																			
443	4.250	UFA																			
445	1.488	1.488	RFA																		
444	6.000	6.000	6.000	UFA																	
447	1.050	RFA																			
452	0.900	RFA																			
453	1.492	1.492	RFA																		
454	2.200	RFA																			
455	UFA																				
456	0.850	UFA																			
457	1.425	1.425	1.425	RFA																	
1842	0.738	0.738	RFA																		
458	1.850	UFA																			
460	4.833	6.500	6.500	6.500	6.500	6.500	6.500	6.500	UFA												
464	0.738	0.738	UFA																		
465	UFA																				
467	3.500	3.500	3.500	3.500	UFA																
469	1.138	1.138	1.138	RFA																	
470	3.000	3.000	RFA																		
473	3.000	3.000	UFA																		
476	1.076	RFA																			
481	0.883	0.883	RFA																		
482	0.850	RFA																			
483	7.000	7.000	7.000	UFA																	
485	0.800	RFA																			
486	0.700	UFA																			
487	2.875	2.875	UFA																		
488	5.500	5.500	UFA																		
489	0.800	UFA																			
492	2.525	UFA																			
493	SWEDEN																				
1843	0.775	UFA																			
495	6.000	6.000	6.000	UFA																	
496	0.874	RFA																			
497	0.707	RFA																			
499	6.500	6.500	6.500	6.500	6.500	6.500	6.500	UFA													
500	1.775	1.775	1.775	RFA																	
501	0.950	2.000	2.000	UFA																	
508	1.138	1.138	RFA																		
511	0.700	0.700	UFA																		
512	0.700	0.725	0.725	UFA																	
513	0.700	UFA																			
514	4.300	UFA																			
1844	0.863	0.863	0.863	RFA																	
1845	UFA																				
516	4.875	4.875	UFA																		
517	0.700	UFA																			
519	3.150	UFA																			
520	4.900	UFA																			
522	3.750	3.750	UFA																		
523	0.700	0.700	UFA																		
524	0.700	0.700	RFA																		
526	4.050	4.050	4.050	4.050	UFA																
527	0.925	0.925	RFA																		
528	0.775	0.775	RFA																		
